svg,icon,title,link,section,not_modal
info1.svg,people-group,Community,info1_modals/_community.html,,F
info1.svg,whale,Whales,info1_modals/_whales.html,,F
info1.svg,wind-turbine,Wind Turbines,info1_modals/_turbines.html,,F
cetaceans.svg,turbine,Wind Turbines,cetacean_modals/_turbines.html,,F
cetaceans.svg,substation,Offshore Substation,cetacean_modals/_substation.html,,F
cetaceans.svg,turbine-platform,Offshore Platforms,cetacean_modals/_platforms.html,,F
cetaceans.svg,cetacean,Whales,cetacean_modals/_whales.html,,F
cetaceans.svg,cable,Subsea Cables,cetacean_modals/_cables.html,,F
cetaceans.svg,moorings,Moorings,cetacean_modals/_moorings.html,,F
cetaceans.svg,turbine-noise,Turbine Sounds,cetacean_modals/_turbine_sounds.html,,F
cetaceans.svg,cetacean-noise,Cetacean Sounds,cetacean_modals/_cetacean_sounds.html,,F
