svg,icon,title,link,section,not_modal
info1.svg,people-group,Community,modals/info1/community.html,,F
info1.svg,whale,Whales,modals/info1/whales.html,,F
info1.svg,wind-turbine,Wind Turbines,modals/info1/turbines.html,,F
cetaceans.svg,turbine,Wind Turbines,modals/cetacean/turbines.html,,F
cetaceans.svg,substation,Offshore Substation,modals/cetacean/substation.html,,F
cetaceans.svg,turbine-platform,Offshore Platforms,modals/cetacean/platforms.html,,F
cetaceans.svg,cetacean,Whales,modals/cetacean/whales.html,,F
cetaceans.svg,cable,Subsea Cables,modals/cetacean/cables.html,,F
cetaceans.svg,moorings,Moorings,modals/cetacean/moorings.html,,F
cetaceans.svg,turbine-noise,Turbine Sounds,modals/cetacean/turbine_sounds.html,,F
cetaceans.svg,cetacean-noise,Cetacean Sounds,modals/cetacean/cetaceansounds.html,,F
